Chem,# LV Selected,LV-2RMSE,LV-3RMSE,LV-4RMSE,LV-5RMSE,LV-6RMSE,LV-7RMSE,LV-8RMSE,LV-9RMSE,LV-10RMSE,LV-11RMSE,LV-12RMSE
Co,3,97.8689,97.4619,96.6362,98.0618,98.8304,103.7526,106.3458,109.731,107.3982,108.1584,110.9824
Co,3,38.967,39.9039,38.4145,40.1045,39.4098,41.1234,41.9735,43.1452,44.0408,45.1338,44.833
Co,3,90.8727,88.8962,87.6658,89.2428,88.7674,89.6386,93.5743,97.853,97.394,99.8204,102.3319
Co,5,100.6333,98.8001,97.0454,96.4363,93.263,95.0022,97.325,97.479,98.8993,98.7769,100.1321
Cr,8,192.0134,190.5548,193.9069,193.6618,189.0152,191.6536,192.6858,180.1437,189.5421,195.6765,193.1112
Cr,7,257.2484,252.6302,246.0295,248.3966,252.2316,245.7388,241.5476,242.6165,244.3454,251.2148,244.1462
Cr,3,214.5693,209.1637,204.0074,206.2795,208.922,214.2251,209.8885,210.7274,212.4475,218.6217,231.1033
Cr,1,194.8194,195.444,195.33,200.281,200.5655,203.0734,204.8871,206.1653,210.0578,217.8619,228.4929
Cr,10,206.9174,215.3926,224.0866,220.3734,219.0819,222.2528,212.6018,207.6442,209.2157,205.8585,216.9272
Cr,5,220.4076,212.5993,208.8802,205.3753,198.0014,200.666,200.4743,207.2275,207.0745,212.0734,217.2402
Cr,4,249.0539,249.0805,246.9916,246.844,249.7314,248.2022,251.5815,249.2495,252.2592,256.2073,258.4487
Cr,5,270.6459,269.5577,265.0521,264.2111,256.5904,262.4871,267.858,273.9503,281.0702,266.7207,265.5967
Cr,11,327.7981,320.3008,307.4878,303.6524,296.9393,276.3596,273.0061,267.264,267.1236,265.4269,263.8727
Cr,4,187.2471,185.8594,184.6723,184.5976,195.8889,195.6131,200.3388,207.231,208.2295,210.5566,211.1776
Cr,3,276.877,276.8143,271.7218,274.2647,275.1747,289.6309,278.5103,290.5132,293.5337,282.4489,279.2699
Cr,5,236.6649,232.9584,229.6673,228.7796,227.1413,230.0707,233.3544,237.4342,239.78,237.8307,236.861
Cr,8,276.5185,272.359,266.4931,263.3044,266.1372,262.3099,255.6145,254.5376,257.2084,263.2685,260.5847
Cr,6,280.5126,269.6106,264.5717,261.6479,258.9275,256.0395,256.5894,266.7598,271.1922,260.7693,257.9655
Cr,8,265.885,258.215,251.7977,248.4444,250.8427,243.2931,240.7862,236.5821,245.9821,249.4524,253.7505
Cr,4,125.1043,123.9478,127.1442,121.4541,125.9144,128.6661,128.2316,135.272,139.8043,152.115,153.8828
